sample	completeness	contamination	class	rep1_GR	rep2_GR	rep3_GR
DLy	63.33	0.65	Alphaproteobacteria	1.5637	2.1653	1.6791
DLy	88.93	3.08	Flavobacteriia	1.6201	3.0002	1.8718
DLy	73.92	2.42	Flavobacteriia	1.6118	2.7530	1.8879
DLy	53.74	8.43	Gammaproteobacteria	1.3877	1.9562	1.4302
DLy	63.44	2.65	Alphaproteobacteria	1.6173	1.9606	1.6387
DLy	57.19	6.91	Gammaproteobacteria	1.0701	3.1396	1.1287
DLy	69.87	2.69	Flavobacteriia	1.8526	2.0179	1.9430
DLy	60.39	9.45	Gammaproteobacteria	1.2408	1.9814	1.4985
DLy	96.71	3.89	Flavobacteriia	2.0165	1.8704	2.1928
DLy	57.39	4.64	Alphaproteobacteria	1.9023	1.8824	1.6530
DLy	55.11	9.41	Flavobacteriia	2.1348	2.0211	2.2340
DLy	60.83	2.40	Thermoplasmata	1.1052	2.0079	1.7784
DLy	64.3	7.79	Thermoplasmata	1.0472	1.8042	1.2888
DLy	60.02	1.87	Thermoplasmata	1.0548	2.4458	1.1112
DLy	53.39	9.45	Gammaproteobacteria	2.0805	2.6334	1.2885
DLy	54.00	1.38	Alphaproteobacteria	1.9973	1.9934	1.7651
DLy	51.21	1.72	Unassigned_Marinimicrobia	1.4760	2.0671	1.9215
DLy	96.23	7.17	Flavobacteriia	2.0307	2.0759	2.1431
DLy	89.09	2.14	Gammaproteobacteria	1.5628	1.8517	1.5961
DLy	60.03	7.21	Gammaproteobacteria	1.9802	1.2416	1.6566
DLy	54.66	9.80	Alphaproteobacteria	1.9433	1.3117	1.9412
DLy	58.03	9.25	Deltaproteobacteria	2.2716	1.2309	1.5384
DLy	58.86	8.28	Flavobacteriia	4.0715	2.8715	3.8704
DLy	91.89	2.85	Gammaproteobacteria	1.5252	1.8146	1.6318
DLy	70.59	2.30	Alphaproteobacteria	1.9815	1.3212	1.8702
DLy	71.98	6.03	Actinobacteria	2.3903	1.2296	1.8096
CLy	51.73	2.60	Alphaproteobacteria	1.8907	2.4901	2.3301
CLy	53.56	4.45	Alphaproteobacteria	1.4906	1.4788	2.4557
CLy	90.60	1.99	Flavobacteriia	2.4341	2.0206	1.9338
CLy	57.31	0.96	Alphaproteobacteria	2.3589	2.2734	2.4505
CLy	55.8	9.08	Flavobacteriia	2.2799	2.4666	2.2311
CLy	58.00	2.80	Thermoplasmata	1.3603	1.5065	1.9520
CLy	62.99	7.58	Alphaproteobacteria	1.2866	1.7476	1.8147
CLy	93.28	1.02	Alphaproteobacteria	1.6727	1.6368	2.1219
CLy	57.12	9.02	Gammaproteobacteria	1.7601	1.9826	2.0647
CLy	72.91	2.20	Unassigned_Marinimicrobia	1.4572	1.6552	1.6662
CLy	60.02	8.46	Thermoplasmata	1.4320	1.1892	1.6627
CLy	79.33	8.55	Gammaproteobacteria	2.2322	1.9530	2.1684
